jugador,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Gabe Vincent,PG,25,MIA,68,1589,10.6,0.551,0.63,0.105,1.6,7.3,4.5,19.4,2,0.8,15.4,17.8,0.7,1.9,2.5,0.076,-1.9,0.5,-1.4,0.2
Nikola Vučević,C,31,CHI,73,2418,18.2,0.533,0.287,0.105,6.6,30.7,18.7,15.2,1.4,2.5,10.1,24.5,1.4,3.2,4.5,0.09,0.8,0.1,0.9,1.8
Dean Wade,PF,25,CLE,51,980,10.1,0.584,0.654,0.138,3.6,13.1,8.5,7.3,1.5,0.6,6.5,11.1,1.1,1.1,2.3,0.111,-1.9,1.3,-0.6,0.4
Franz Wagner,SF,20,ORL,79,2429,14.7,0.559,0.278,0.225,3.6,11.9,7.7,15.7,1.4,1.3,10,21.2,2.1,1.9,4,0.079,-0.4,-0.3,-0.7,0.8
Moritz Wagner,C,24,ORL,63,960,18.1,0.623,0.508,0.326,4.6,21,12.8,15.4,1,1.2,11,22.9,1.8,1,2.8,0.138,1.5,0.1,1.6,0.9
Ish Wainright,PF,27,PHO,45,359,9.4,0.494,0.567,0.115,8.3,7.9,8.1,5.3,2.7,1.5,10.6,14.7,0,0.6,0.6,0.079,-3,1,-2,0
Kemba Walker,PG,31,NYK,37,948,13.9,0.537,0.538,0.192,1.6,11.2,6.3,22.2,1.4,0.7,10.7,20.8,1,0.9,1.8,0.093,0.7,-0.2,0.4,0.6
Lonnie Walker IV,SG,23,SAS,70,1612,12.3,0.512,0.462,0.194,1.2,10.7,5.9,13.4,1.3,1,7.9,23.6,0.1,1.1,1.2,0.037,-1.2,-1.3,-2.5,-0.2
M.J. Walker,SG,23,PHO,2,8,-3.3,0,0.5,0,0,13.1,6.7,13.8,12,0,0,21.5,-0.1,0,0,-0.276,-15.8,6.2,-9.6,0
Tyrone Wallace,SG,27,NOP,6,75,2.5,0.383,0.4,0.25,0,12.1,5.9,1.8,2,1.3,8.3,13.9,-0.2,0.1,-0.1,-0.057,-7.7,-0.6,-8.2,-0.1
Derrick Walton,PG,26,DET,3,108,5.9,0.342,0.5,0.154,1.9,8.4,5,26.4,3.2,3.3,28.4,15.4,-0.3,0.1,-0.2,-0.071,-5.3,1,-4.3,-0.1
Brad Wanamaker,PG,32,TOT,23,320,7.5,0.472,0.221,0.325,2.1,11.6,6.8,22.4,1.1,1.6,20.7,14.9,-0.1,0.1,0,0.004,-5.3,-0.5,-5.8,-0.3
Duane Washington Jr.,PG,21,IND,48,968,10.2,0.521,0.504,0.143,0.5,9.3,4.8,13,1.3,0.3,11.2,22.6,-0.2,0.2,0,-0.002,-1.9,-2.8,-4.8,-0.7
P.J. Washington,C,23,CHO,65,1768,13.6,0.588,0.566,0.152,4.8,15.5,10.1,11.2,1.5,3.3,12.6,15.6,1.8,1.6,3.4,0.091,-0.2,0.2,-0.1,0.9
Yuta Watanabe,SF,27,TOR,38,445,11.5,0.524,0.572,0.29,4.2,19,11.2,6.6,1.2,3.5,10.9,16.8,0.1,0.6,0.7,0.075,-1.9,0,-2,0
Lindy Waters III,SG,24,OKC,25,465,13,0.562,0.834,0.029,1.3,15,8.1,8.1,2,1.6,5.8,17.5,0.3,0.5,0.8,0.081,-0.8,-0.8,-1.6,0.1
Tremont Waters,PG,24,TOT,3,50,5.4,0.357,0.643,0,0,9.2,4.3,18.2,5,0,22.2,15.5,-0.1,0.1,0,-0.042,-7.8,0.1,-7.7,-0.1
Trendon Watford,SF,21,POR,48,869,15.8,0.59,0.142,0.352,7,18.6,12.6,14.6,1.4,3.2,12.5,17.6,1.4,0.5,1.9,0.104,-1.4,-0.4,-1.7,0.1
Paul Watson,SF,27,OKC,9,156,5.7,0.432,0.743,0.057,1.9,16.1,8.9,7.2,0.9,1.8,10,11,-0.1,0.1,0,0.001,-4.8,-0.6,-5.4,-0.1
Quinndary Weatherspoon,SG,25,GSW,11,73,12,0.647,0.238,0.238,3.1,17.4,10.5,10.1,0.7,1.3,11.5,15.7,0.1,0.1,0.2,0.148,-4.5,0.1,-4.4,0
Russell Westbrook,PG,33,LAL,78,2678,15,0.512,0.215,0.324,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,-0.6,2.3,1.7,0.03,-0.7,-0.9,-1.6,0.2
Coby White,PG,21,CHI,61,1675,12.6,0.564,0.548,0.141,1.1,11,6.1,15,0.8,0.6,9.3,19.8,1.6,0.8,2.4,0.067,-0.4,-1.7,-2.1,0
Derrick White,SG,27,TOT,75,2199,14.8,0.549,0.461,0.294,1.8,10.7,6.3,22.9,1.4,2.3,11.6,19.9,2.8,2.3,5.1,0.111,0.4,0.6,0.9,1.6
Hassan Whiteside,C,32,UTA,65,1162,22.9,0.662,0,0.506,16.2,29.9,23.3,3.4,0.9,7.8,11.6,17.1,3.4,2.3,5.8,0.238,0.6,1.4,2.1,1.2
Joe Wieskamp,SG,22,SAS,29,205,7.1,0.494,0.768,0.232,2,5.2,3.6,5.5,0.9,1.2,3.1,13.1,0.1,0.1,0.1,0.035,-2.9,-1.1,-3.9,-0.1
Aaron Wiggins,SG,23,OKC,50,1209,10.3,0.556,0.409,0.252,4.3,11,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7
Andrew Wiggins,SF,26,GSW,73,2329,15,0.56,0.392,0.231,4.1,10.9,7.6,10.8,1.6,2.1,9,23.1,1.8,3.4,5.1,0.105,0.3,0.1,0.4,1.4
Lindell Wigginton,PG,23,MIL,19,199,10.2,0.524,0.426,0.574,1.6,11.5,6.7,15.7,1.2,0.5,13.6,19,0,0.1,0.2,0.044,-3.2,-1.9,-5,-0.2
Brandon Williams,PG,22,POR,24,640,11,0.476,0.376,0.344,3.1,9.8,6.4,23.1,1.8,1.5,15.2,25.9,-0.7,0.2,-0.5,-0.037,-2.6,-3.1,-5.7,-0.6
Grant Williams,PF,23,BOS,77,1875,11.2,0.635,0.597,0.22,3.8,11.8,7.9,5.7,1,2.8,11.6,12.6,2.4,2.6,5.1,0.13,-1.4,1.1,-0.4,0.8
Kenrich Williams,SF,27,OKC,49,1072,13.3,0.532,0.382,0.174,7.1,14.1,10.5,15.3,2,0.9,11.9,15.6,0.8,1,1.8,0.081,-1.3,1.1,-0.3,0.5
Lou Williams,PG,35,ATL,56,799,12.1,0.5,0.319,0.244,2.2,9.7,6,18.6,1.7,0.3,10.8,21.7,0.2,0.4,0.6,0.034,-2,-1.4,-3.4,-0.3
Patrick Williams,PF,20,CHI,17,422,12.7,0.637,0.284,0.402,4.6,13.8,9.2,4.8,1,1.8,11.8,14.2,0.6,0.3,0.9,0.099,-0.9,-0.7,-1.5,0
Robert Williams,C,24,BOS,61,1804,22.1,0.745,0.003,0.245,14.6,20.5,17.6,9.7,1.5,6.8,13.4,11.5,6,3.9,9.9,0.262,2.4,3.1,5.5,3.4
Ziaire Williams,SF,20,MEM,62,1346,9.7,0.559,0.571,0.13,2,8.2,5,6.3,1.2,0.8,8.4,14.9,1.1,1.1,2.2,0.08,-2.4,-0.6,-3,-0.3
D.J. Wilson,PF,25,TOR,4,54,27.9,0.773,0.133,0.667,1.9,31.8,16.1,14.6,4.6,1.8,9.3,17,0.2,0.1,0.4,0.328,1.8,3.2,5,0.1
Dylan Windler,SF,25,CLE,50,459,8.8,0.519,0.714,0.184,5.2,16,10.7,10,1.5,0.6,13.1,11.8,0.2,0.6,0.8,0.084,-2.9,1.2,-1.7,0
Justise Winslow,PF,25,TOT,48,774,13.1,0.479,0.257,0.257,7,20.9,14,16.1,2.2,2.9,14.6,18.9,-0.3,1.1,0.8,0.048,-2.7,1,-1.7,0.1
Cassius Winston,PG,23,WAS,7,39,6,0.549,0.545,0.364,0,2.8,1.4,24.4,0,0,19,18,0,0,0,0.015,-5.9,-3.5,-9.3,-0.1
Christian Wood,C,26,HOU,68,2094,19.1,0.595,0.383,0.378,5.7,30.4,18,12.2,1.2,2.8,11,23.3,2.9,2,4.9,0.112,2.1,-0.4,1.6,1.9
Robert Woodard II,SF,22,SAC,12,42,2.1,0.207,0.25,0.125,12.8,15.7,14.3,9,1.1,2.1,5.6,18.3,-0.2,0,-0.1,-0.147,-6.8,-3.6,-10.4,-0.1
Delon Wright,SG,29,ATL,77,1452,13.8,0.576,0.431,0.234,3.8,12.7,8.3,16.6,3.1,1.2,13.2,10.3,2.2,1.5,3.6,0.121,-0.2,2.4,2.2,1.6
McKinley Wright IV,PG,23,MIN,5,19,9.5,0.833,0.667,0,0,0,0,20.9,0,0,25,8.8,0,0,0,0.092,-1.4,-2.8,-4.2,0
Moses Wright,PF,23,TOT,4,14,18.3,0.47,0.25,0.75,7.9,15.9,11.9,16.8,0,6.5,0,17.1,0,0,0.1,0.18,1.1,0.4,1.4,0
Gabe York,SG,28,IND,2,21,12.7,0.435,0.857,0.714,0,10.8,5.3,25.1,4.7,4.1,9.8,20.8,0,0,0,0.059,-3.7,2.2,-1.5,0
Thaddeus Young,PF,33,TOT,52,845,17,0.548,0.176,0.18,9.8,16.8,13.1,17.7,3.1,2,15,17.4,0.9,1.3,2.2,0.126,0.1,2.1,2.2,0.9
Trae Young,PG,23,ATL,76,2652,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,9,1,10,0.181,7.1,-2,5.2,4.8
Omer Yurtseven,C,23,MIA,56,706,17.4,0.546,0.045,0.247,13.9,33,23.6,11,1.2,3,13,19.9,0.8,1.4,2.1,0.145,-1.4,0.4,-1,0.2
Cody Zeller,C,29,POR,27,355,17.2,0.627,0.044,0.544,14.9,24.1,19.3,9.4,1.1,1.7,14.6,15.9,0.9,0.2,1.1,0.143,-1.2,-1,-2.1,0
Ivica Zubac,C,24,LAC,76,1852,19.2,0.66,0,0.459,12.8,23.7,18.4,9.8,1,3.5,16.1,16.8,4.3,2.9,7.2,0.187,-0.1,0.8,0.7,1.3
